batch_order,general_rank,text,reading_authority,reading_evidence_type,reading_evidence,decision,roles,predicate_frame,standalone_kind,rationale
51,235,文化,moe-concised,trainer-bopomofo,ㄨㄣ2 ㄏㄨㄚ4,approved-existing-schema,subject;object,none,lexical-prompt,Common abstract noun can fill existing subject and object slots
52,239,大陸,moe-revised,trainer-bopomofo,ㄉㄚ4 ㄌㄨ4,approved-existing-schema,subject;object,none,lexical-prompt,Reviewed place name can fill existing subject and object slots
53,245,大學,moe-concised,trainer-bopomofo,ㄉㄚ4 ㄒㄩㄝ2,approved-existing-schema,subject;object,none,lexical-prompt,Common institution noun can fill existing subject and object slots
54,248,目前,moe-concised,trainer-bopomofo,ㄇㄨ4 ㄑㄧㄢ2,approved-existing-schema,temporal,none,lexical-prompt,Dominant temporal-modifier use fits the existing temporal slot
55,249,部分,moe-concised,trainer-bopomofo,ㄅㄨ4 ㄈㄣ4,approved-existing-schema,subject;object,none,lexical-prompt,Common noun can fill existing subject and object slots
56,251,無法,moe-concised,trainer-bopomofo,ㄨ2 ㄈㄚ3,held-context-dependent,,,,Dominant use heads a clausal or verb complement outside the auxiliary review lane unlike the reviewed modal auxiliaries
57,258,日本,moe-revised,trainer-bopomofo,ㄖ4 ㄅㄣ3,approved-existing-schema,subject;object,none,lexical-prompt,Reviewed place name can fill existing subject and object slots
58,262,未來,moe-concised,trainer-bopomofo,ㄨㄟ4 ㄌㄞ2,approved-existing-schema,subject;object,none,lexical-prompt,Predominantly generic noun use can fill existing subject and object slots
59,269,學校,moe-concised,trainer-bopomofo,ㄒㄩㄝ2 ㄒㄧㄠ4,approved-existing-schema,subject;object,none,lexical-prompt,Common institution noun can fill existing subject and object slots
60,275,經濟,moe-concised,trainer-bopomofo,ㄐㄧㄥ1 ㄐㄧ4,approved-existing-schema,subject;object,none,lexical-prompt,Common abstract noun can fill existing subject and object slots
61,278,當時,moe-concised,trainer-bopomofo,ㄉㄤ1 ㄕ2,approved-existing-schema,temporal,none,lexical-prompt,Dominant temporal-modifier use fits the existing temporal slot
62,283,過程,moe-concised,trainer-bopomofo,ㄍㄨㄛ4 ㄔㄥ2,approved-existing-schema,subject;object,none,lexical-prompt,Common noun can fill existing subject and object slots
63,284,感覺,moe-concised,trainer-bopomofo,ㄍㄢ3 ㄐㄩㄝ2,approved-existing-schema,subject;object,none,lexical-prompt,Dominant nominal use can fill existing subject and object slots
64,287,結果,moe-concised,trainer-bopomofo,ㄐㄧㄝ2 ㄍㄨㄛ3,approved-existing-schema,subject;object,none,lexical-prompt,Common noun can fill existing subject and object slots
65,288,指出,moe-concised,trainer-bopomofo,ㄓ3 ㄔㄨ1,held-template-gap,,,,Predicate normally selects a clausal complement absent from current object-noun templates
66,291,後來,moe-concised,trainer-bopomofo,ㄏㄡ4 ㄌㄞ2,approved-existing-schema,temporal,none,lexical-prompt,Dominant temporal-modifier use fits the existing temporal slot
67,292,機會,moe-concised,trainer-bopomofo,ㄐㄧ1 ㄏㄨㄟ4,approved-existing-schema,subject;object,none,lexical-prompt,Common noun can fill existing subject and object slots
68,301,條,moe-concised,trainer-bopomofo,ㄊㄧㄠ2,held-template-gap,,,,Dominant classifier use needs a quantified-noun construction absent from current templates
69,307,放,cedict-unique,numbered-pinyin,fang4,held-lexical-ambiguity,,,,Candidate mixes placement release and fixed-expression uses requiring different constructions
70,311,故事,moe-concised,trainer-bopomofo,ㄍㄨ4 ㄕ4,approved-existing-schema,subject;object,none,lexical-prompt,Common noun can fill existing subject and object slots
71,313,變成,moe-concised,trainer-bopomofo,ㄅㄧㄢ4 ㄔㄥ2,approved-existing-schema,transitive-predicate,transitive,lexical-prompt,Object-bearing resultative predicate fits the subject plus transitive template
72,319,其中,moe-revised,trainer-bopomofo,ㄑㄧ2 ㄓㄨㄥ1,held-context-dependent,,,,Predominantly a partitive oblique expression referring back to a set rather than a plain subject or object noun
73,320,先生,moe-concised,trainer-bopomofo,ㄒㄧㄢ1 ㄕㄥ1,approved-existing-schema,subject;object,none,lexical-prompt,Common address and title noun can fill existing subject and object slots
74,322,同時,moe-concised,trainer-bopomofo,ㄊㄨㄥ2 ㄕ2,approved-existing-schema,temporal,none,lexical-prompt,Dominant temporal-modifier use fits the existing temporal slot
75,323,使,moe-concised,trainer-bopomofo,ㄕ3,held-template-gap,,,,Causative use requires an object plus a following predicate or complement absent from current templates
76,325,決定,moe-concised,trainer-bopomofo,ㄐㄩㄝ2 ㄉㄧㄥ4,held-lexical-ambiguity,,,,Candidate mixes nominal decision and clause-complement deciding uses requiring different constructions
77,327,市場,moe-concised,trainer-bopomofo,ㄕ4 ㄔㄤ3,approved-existing-schema,subject;object,none,lexical-prompt,Common noun can fill existing subject and object slots
78,328,中心,moe-concised,trainer-bopomofo,ㄓㄨㄥ1 ㄒㄧㄣ1,approved-existing-schema,subject;object,none,lexical-prompt,Common noun can fill existing subject and object slots
79,330,國際,moe-concised,trainer-bopomofo,ㄍㄨㄛ2 ㄐㄧ4,held-context-dependent,,,,Dominant use is an attributive modifier before a following noun with minimal standalone subject or object evidence
80,334,狀況,moe-concised,trainer-bopomofo,ㄓㄨㄤ4 ㄎㄨㄤ4,approved-existing-schema,subject;object,none,lexical-prompt,Common noun can fill existing subject and object slots
81,337,身體,moe-concised,trainer-bopomofo,ㄕㄣ1 ㄊㄧ3,approved-existing-schema,subject;object,none,lexical-prompt,Common noun can fill existing subject and object slots
82,346,項,moe-concised,trainer-bopomofo,ㄒㄧㄤ4,held-template-gap,,,,Dominant classifier use needs a quantified-noun construction absent from current templates
83,348,生命,moe-concised,trainer-bopomofo,ㄕㄥ1 ㄇㄧㄥ4,approved-existing-schema,subject;object,none,lexical-prompt,Common noun can fill existing subject and object slots
84,351,起來,moe-concised,trainer-bopomofo,ㄑㄧ3 ㄌㄞ2,held-template-gap,,,,Dominant use is a bound verb-complement particle rather than a standalone predicate
85,352,誰,moe-concised,trainer-bopomofo,ㄕㄟ2,held-template-gap,,,,Interrogative pronoun requires question-aware templates and punctuation
86,354,歷史,moe-concised,trainer-bopomofo,ㄌㄧ4 ㄕ3,approved-existing-schema,subject;object,none,lexical-prompt,Common noun can fill existing subject and object slots
87,369,電影,moe-concised,trainer-bopomofo,ㄉㄧㄢ4 ㄧㄥ3,approved-existing-schema,subject;object,none,lexical-prompt,Common noun can fill existing subject and object slots
88,372,人員,moe-concised,trainer-bopomofo,ㄖㄣ2 ㄩㄢ2,approved-existing-schema,subject;object,none,lexical-prompt,Common noun can fill existing subject and object slots
89,374,隻,moe-concised,trainer-bopomofo,ㄓ1,held-template-gap,,,,Dominant classifier use needs a quantified-noun construction absent from current templates
90,380,令,moe-concised,trainer-bopomofo,ㄌㄧㄥ4,held-template-gap,,,,Causative use requires an object plus a following predicate or complement absent from current templates
91,385,家庭,moe-concised,trainer-bopomofo,ㄐㄧㄚ1 ㄊㄧㄥ2,approved-existing-schema,subject;object,none,lexical-prompt,Common noun can fill existing subject and object slots
92,391,經驗,moe-concised,trainer-bopomofo,ㄐㄧㄥ1 ㄧㄢ4,approved-existing-schema,subject;object,none,lexical-prompt,Common noun can fill existing subject and object slots
93,399,是否,moe-concised,trainer-bopomofo,ㄕ4 ㄈㄡ3,held-template-gap,,,,Interrogative complementizer introducing an embedded yes-no question fits no reviewed predicate role
94,403,塊,moe-concised,trainer-bopomofo,ㄎㄨㄞ4,held-template-gap,,,,Dominant classifier use needs a quantified-noun construction absent from current templates
95,405,能力,moe-concised,trainer-bopomofo,ㄋㄥ2 ㄌㄧ4,approved-existing-schema,subject;object,none,lexical-prompt,Common noun can fill existing subject and object slots
96,412,小時,moe-concised,trainer-bopomofo,ㄒㄧㄠ3 ㄕ2,held-context-dependent,,,,Duration noun normally requires a preceding numeral and mixes object and adverbial temporal uses
97,413,政治,moe-concised,trainer-bopomofo,ㄓㄥ4 ㄓ4,approved-existing-schema,subject;object,none,lexical-prompt,Common noun can fill existing subject and object slots
