batch_order,general_rank,text,reading_authority,reading_evidence_type,reading_evidence,decision,roles,predicate_frame,standalone_kind,rationale
1,6,我,moe-concised,trainer-bopomofo,ㄨㄛ3,approved-existing-schema,subject;object,none,lexical-prompt,Personal pronoun can fill reviewed subject and object slots
2,12,他,moe-concised,trainer-bopomofo,ㄊㄚ1,approved-existing-schema,subject;object,none,lexical-prompt,Personal pronoun can fill reviewed subject and object slots
3,15,你,moe-concised,trainer-bopomofo,ㄋㄧ3,approved-existing-schema,subject;object,none,lexical-prompt,Personal pronoun can fill reviewed subject and object slots
4,28,她,moe-concised,trainer-bopomofo,ㄊㄚ1,approved-existing-schema,subject;object,none,lexical-prompt,Personal pronoun can fill reviewed subject and object slots
5,31,它,moe-concised,trainer-bopomofo,ㄊㄚ1,approved-existing-schema,subject;object,none,lexical-prompt,Third-person inanimate pronoun can fill reviewed subject and object slots
6,34,讓,moe-concised,trainer-bopomofo,ㄖㄤ4,held-template-gap,,,,Causative use requires an object plus a following predicate or complement
7,35,年,moe-concised,trainer-bopomofo,ㄋㄧㄢ2,held-context-dependent,,,,Bare time unit normally requires a numeral modifier or compound context
8,44,自己,moe-concised,trainer-bopomofo,ㄗ4 ㄐㄧ3,approved-existing-schema,subject;object,none,lexical-prompt,Reflexive nominal can fill reviewed subject and object slots
9,46,他們,moe-concised,trainer-bopomofo,ㄊㄚ1 ㄇㄣ5,approved-existing-schema,subject;object,none,lexical-prompt,Plural personal pronoun can fill reviewed subject and object slots
10,61,被,cedict-unique,numbered-pinyin,bei4,held-template-gap,,,,Passive auxiliary requires a dedicated passive construction
11,62,什麼,moe-concised,trainer-bopomofo,ㄕㄣ2 ㄇㄜ5,held-template-gap,,,,Interrogative nominal requires question-aware templates and punctuation
12,63,時候,moe-concised,trainer-bopomofo,ㄕ2 ㄏㄡ4,held-context-dependent,,,,Bare temporal noun normally requires a modifier or linking construction
13,67,等,moe-concised,trainer-bopomofo,ㄉㄥ3,held-lexical-ambiguity,,,,Candidate mixes nominal etcetera and verbal wait uses
14,74,次,moe-concised,trainer-bopomofo,ㄘ4,held-template-gap,,,,Classifier and count use is not represented by current templates
15,84,覺得,moe-concised,trainer-bopomofo,ㄐㄩㄝ2 ㄉㄜ5,held-template-gap,,,,Predicate normally selects a clause or adjectival complement
16,86,天,moe-concised,trainer-bopomofo,ㄊㄧㄢ1,held-context-dependent,,,,Bare day unit normally requires a numeral modifier or compound context
17,94,月,moe-concised,trainer-bopomofo,ㄩㄝ4,held-context-dependent,,,,Bare month unit normally requires a numeral modifier or compound context
18,122,一些,moe-concised,trainer-bopomofo,ㄧ1 ㄒㄧㄝ1,held-template-gap,,,,Attributive quantity expression is not an adjectival predicate
19,126,元,moe-concised,trainer-bopomofo,ㄩㄢ2,held-template-gap,,,,Currency unit requires a numeral or quantified-noun construction
20,134,地方,moe-concised,trainer-bopomofo,ㄉㄧ4 ㄈㄤ1,approved-existing-schema,subject;object,none,lexical-prompt,Common noun can fill reviewed subject and object slots
21,136,孩子,moe-concised,trainer-bopomofo,ㄏㄞ2 ㄗ5,approved-existing-schema,subject;object,none,lexical-prompt,Animate common noun can fill reviewed subject and object slots
22,137,裡面,moe-concised,trainer-bopomofo,ㄌㄧ3 ㄇㄧㄢ4,held-lexical-ambiguity,,,,Candidate alternates between locative noun and adpositional use
23,141,一樣,moe-concised,trainer-bopomofo,ㄧ1 ㄧㄤ4,approved-existing-schema,adjectival-predicate,adjectival,lexical-prompt,Reviewed predicative use fits the subject plus adjectival template
24,145,不會,moe-concised,trainer-bopomofo,ㄅㄨ4 ㄏㄨㄟ4,approved-existing-schema,modal,modal,lexical-prompt,Negative ability or likelihood modal fits existing modal templates
25,148,歲,moe-concised,trainer-bopomofo,ㄙㄨㄟ4,held-template-gap,,,,Age unit requires a numeral or age construction
